"Key","SourceString","Comment"
"forging_button_offer_nocommission","Selecciona un encargo","Caption of the ""offer"" button when no commission is selected (i.e. the button can't be used and displays this reason)."
"offertocustomer_offeredamount_caption","Ofrece:","Text before the amount the customer will offer, e.g. ""Offer: 120🪙"""
"offertocustomer_confirmation_hint","¿Aceptas esta oferta?","Text in the ""sell to customer"" window, asking the player for a yes/no confirmation before selling the sword at a given price."
"offertocustomer_confirmation_button","Vender a {0}","Caption of the button to sell a sword to a customer. The customer's full name will be inserted for {0}."
"swordpart_status_category","Categoría","Title of swordpart tooltip."
"swordpart_status_craftable","Fabricable","Text inside swordpart tooltip, which shows that the part is a craftable."
"swordpart_status_owned","Tienes","Text inside swordpart tooltip, which shows that the part is owned."
"swordpart_status_sale","En venta","Text inside swordpart tooltip, which shows that the part is for sale."
"swordpart_usedinsword","Usado en {0}","Text inside swordpart tooltip, which shows in which sword the sword part is currently used, if any. Sword name is inserted for {0}."
"swordmaking_ability_category_basic","Básico","Swordmaking ability category: basic."
"swordmaking_ability_category_crosssection","Sección transversal","Swordmaking ability category: cross-section."
"swordmaking_ability_category_misc","Misceláneos","Swordmaking ability category: miscellaneous."
"swordmaking_ability_category_taper","Estrechamiento","Swordmaking ability category: taper."
"swordmaking_ability_drawout_title","Estirar","Title for Draw Out ability."
"swordmaking_ability_drawout_description","Alarga la hoja","Changes the overall length of the blade."
"swordmaking_ability_flatten_title","Aplanar","Title for Flatten ability."
"swordmaking_ability_flatten_description","Haz la hoja más plana","Changes the thickness of the blade."
"swordmaking_ability_broaden_title","Ensanchar","Title for the Broaden ability."
"swordmaking_ability_broaden_description","Haz la hoja más ancha","Changes the overall width of the blade."
"swordmaking_ability_narrow_title","Estrechar","Title for Narrow ability."
"swordmaking_ability_narrow_description","Haz la hoja más estrecha","Changes the overall width of the blade."
"swordmaking_ability_narrowgrind_title","Estrechar (amolar)","Title of the Narrow (grind) ability."
"swordmaking_ability_narrowgrind_description","Reduce anchura (lijado). Los filos se volverán romos.","Changes the width of the blade by grinding material away (makes a shrap blade dull)."
"swordmaking_ability_profiletaper_title","Ancho de punta","Title for the Profile Taper ability."
"swordmaking_ability_profiletaper_description","Estrecha la hoja gradualmente hacia la punta.","Changes the width towards the end of the blade."
"swordmaking_ability_distaltaper_title","Adelgazamiento de la hoja","Title for the Distal Taper ability."
"swordmaking_ability_distaltaper_description","Adelgaza la hoja gradualmente hacia la punta.","Changes the thickness towards the end of the blade."
"swordmaking_ability_point_title","Punta","Title for the Point ability."
"swordmaking_ability_point_description","Añade una punta. Ajusta la forma arrastrando la línea de intensidad hacia arriba o abajo.","Changes the end of the blade to make a point and increase piercing."
"swordmaking_ability_crosssection_title","Sección transversal","Title for the Cross-Section ability."
"swordmaking_ability_crosssection_description","Ajusta la sección transversal de la hoja y sácale filo.","Changes the Cross-Section of the blade."
"swordmaking_ability_crosssection_spinewidth","Anchura del dorso","Propery of the sword's cross-section, the width of the flat (the equal sign here: <=>)"
"swordmaking_ability_crosssection_edgethickness","Grosor del filo","Propery of the sword's cross-section, the thickness of the edge. Usually close to 0, so the sword is sharp."
"swordmaking_ability_crosssection_convexity","Convexidad","Propery of the sword's cross-section, the convexity or concavity. A convex cross-section looks like a lentil and is called lenticular, while a concave cross-section is called a ""hollow grind""."
"swordmaking_ability_category_flamboyance","Ondulación","Swordmaking ability category: flamboyance."
"swordmaking_ability_flamboyance_wavy_l_title","Ondulación I (Grande)","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_wavy_m_title","Ondulación I (Mediana)","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_wavy_s_title","Ondulación I (Pequeña)","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_wavy_description","Añade ondulación.","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_botched_l_title","Ondulación II (Grande)","Changes the edge of the blade to scalloped."
"swordmaking_ability_flamboyance_botched_m_title","Ondulación II (Mediana)","Changes the edge of the blade to scalloped."
"swordmaking_ability_flamboyance_botched_s_title","Ondulación II (Pequeña)","Changes the edge of the blade to scalloped."
"swordmaking_ability_flamboyance_botched_description","Añade ondulación festoneada","Changes the edge of the blade to scalloped."
"swordmaking_ability_curvature_title","Curvatura","Title for the Curvature ability."
"swordmaking_ability_curvature_description","Curva la hoja. Puedes crear una recurvatura usando esta habilidad varias veces.","Adding a curve to the blade."
"swordmaking_ability_category_fuller","Canaladura","Swordmaking ability category: fuller."
"swordmaking_ability_fullerrounded_title","Canaladura (redondeada)","Title for the Fuller (rounded) ability."
"swordmaking_ability_fullerrounded_description","Añade una canaladura principal con extremos redondeados.","Adding a fuller to the blade. A central groove in the blade, with a rounded end."
"swordmaking_ability_fullersmooth_title","Canaladura (suave)","Title for the Fuller (smooth) ability."
"swordmaking_ability_fullersmooth_description","Añade una canaladura principal con extremos suaves.","Adding a fuller to the blade. A central groove in the blade, softly fading out."
"swordmaking_ability_sidefullerrounded_title","Side Fullers (rounded)","Title for the Side Fuller (rounded) ability."
"swordmaking_ability_sidefullerrounded_description","Add side fullers with rounded ends.","Adding side fullers to the blade, with rounded ends."
"swordmaking_ability_sidefullersmooth_title","Canaladuras laterales (suaves)","Title for the Side Fuller (smooth) ability."
"swordmaking_ability_sidefullersmooth_description","Añade canaladuras laterales con extremos suaves.","Adding side fullers to the blade, softly fading out."
"swordmaking_ability_fuller_width","Anchura","The width of the fuller, a central ridge in the sword."
"swordmaking_ability_fuller_depth","Profundidad","The depth of the fuller, a central ridge in the sword."
"swordmaking_ability_fuller_offset","Desplazamiento","The offset of the fuller, a usually central ridge in the sword that can also be offset to one side."
"swordmaking_ability_category_polish","Pulido","Swordmaking ability category: polish."
"swordmaking_ability_polish_title","Pulir Hoja","Title for the Polish ability."
"swordmaking_ability_polish_description","Añade brillo a la hoja.","Polishes the blade, making it shiny."
"swordmaking_ability_polish_flat_title","Pulir Caras","Title for the Polish Flat ability. The flat in this case is the flat section in the middle of a blade with a hexagonal cross-section."
"swordmaking_ability_polish_flat_description","Añade brillo al plano posterior de la hoja.","Polishes the blade's flat section, i.e. the back of the blade, making it shiny."
"swordmaking_ability_polish_edge_title","Pulir Filo","Title for the Polish Blade Edge ability."
"swordmaking_ability_polish_edge_description","Añade brillo al filo de la hoja","Polishes the blade's very edge, making it shiny."
"swordmaking_ability_polish_slant_title","Pulir Bisel","Title for the primary bevel area polish ability."
"swordmaking_ability_polish_slant_description","Añade brillo al bisel de la hoja","Polishes the blade slant/bevel, making it shiny."
"swordmaking_ability_polish_fuller_title","Pulir Canaladuras","Title for the fuller area polish level."
"swordmaking_ability_polish_fuller_description","Añade brillo a las canaladuras de la hoja","Polishes the blade fuller, making it shiny."
"swordmaking_ability_polish_fuller_side_title","Pulir Canaladuras Laterales","Title for the side fuller area polish level."
"swordmaking_ability_polish_fuller_side_description","Añade brillo a las canaladuras laterales de la hoja","Polishes the blade side fuller, making it shiny."
"swordpart_category_inventory","Partes en propiedad","Parts the player owns as single instances (rather than crafting recipes)."
"swordpart_category_guardsinglepiece","Guarda","The guard is a swordpart that describes the metal part that protects the hand and is located between the handle and the blade."
"swordpart_category_guardquillonblock","Cuerpo de la guarda","Part of the guard of edged weapons consisting of a small block of metal, acting as a support for the shoulder of the blade and the base of the guard."
"swordpart_category_guardquillon","Gavilán","The quillon is an arm of the guard of a sword."
"swordpart_category_guardconnector","Conector","A connecting piece to connect e.g. two quillons."
"swordpart_category_guardring","Anillo","A sword part in ring form, often attached to the quillon block."
"swordpart_category_guardsweeps","Arcos y Puentes","Sword parts in the form of sweeps and loops, usally part of the guard in e.g. a rapier."
"swordpart_category_guardendcap","Cantonera","End caps to put on the end of quillons / arms."
"swordpart_category_grip","Empuñadura","The Grip acts as the main part of the handle. You hold the sword here."
"swordpart_category_gripwrap","Recubrimiento","Wrappings around the grip parts of the sword to further decorate."
"swordpart_category_gripriser","Resalte","An elevated piece, usually used on grips. Traditionally, this was achieved by putting a thick cord around the wooden grip piece before covering it with leather, resulting in a bump."
"swordpart_category_pommel","Pomo","A pommel is a shaped protrusion at the end of a sword hilt, serves as a counter weight."
"swordpart_category_pommelcomplex","Pomo Complejo","A pommel is a shaped protrusion at the end of a sword hilt, serves as a counter weight. Complex pommels can be modified further by attaching more parts onto it."
"swordpart_category_pommelpeen","Remache","The part that is peened is the end of the tang (the part of the blade that is inside the guard, grip, and pommel) where it goes through the pommel. This is what seals the hilt shut."
"swordpart_category_misc","Misc.","Various items that do not fit into any other category, abbreviation for Miscellaneous. Feel free to use an abbreviation or a full word, we're not particularly space-limited here."
"swordpart_category_miscattachment","Acople","Various decorative parts that can be attached to the sword."
"swordpart_category_miscferrule","Virola","A ring found on some sword hilts that connects two grip parts, usually (but not always) decorative and made of metal."
"swordpart_category_miscemblem","Emblema","A decorative object that can be attached to the sword, e.g. a coin, medal etc."
"swordpart_category_miscgemstone","Gema","A decorative object that can be attached to the sword."
"swordpart_category_engraving","Grabado","Cutting decoration into surfaces, i.e. wood, stone or metal."
"swordpart_category_material","Material","Describes various materials from which sword parts can be made."
"swordpart_category_material_leather_rough","Cueros rugosos","Describes various materials from which sword parts can be made."
"swordpart_category_material_leather_smooth","Cueros suaves","Describes various materials from which sword parts can be made."
"swordpart_category_material_leather_structured","Cueros conformados","Describes various materials from which sword parts can be made."
"swordpart_category_material_metal_steel","Acero","Describes various materials from which sword parts can be made."
"swordpart_category_material_metal_fine","Metales preciosos","Describes various materials from which sword parts can be made."
"swordpart_category_material_wood","Maderas","Describes various materials from which sword parts can be made."
"swordpart_category_material_artisan","Materiales artesanales","Describes various materials from which sword parts can be made."
"swordpart_category_material_magic","Materiales encantados","Describes various materials from which sword parts can be made."
"general_joinedsentences","{0} {1}","In English, German etc., if we join two independent sentences {0} and {1}, they would be joined with a space ("" ""). In Chinese for example, there would be no extra space between sentences, so this string would be {0}{1} without a space."
"dialogue_quotes","“{0}”","Quotes that are being put around all direct speech in the game (e.g. “Good morning!”). {0} will be replaced with whatever text."
"dialogue_continue","Continuar ▽","Caption of a button to continue to the next line of dialogue."
"dialogue_end","Finalizar ■","Caption of a button to end the dialogue when there are no more lines."
"numberwithunit_hoursandminutes","{0}:{1} hrs","Displaying a timespan: hours inserted for {0}, minutes inserted for {1}."
"numberwithunit_gram","{0} g","Displaying a number (inserted for {0}): weight in grams."
"numberwithunit_kilogram","{0} kg","Displaying a number (inserted for {0}): weight in kilograms."
"numberwithunit_ounce","{0} oz","Displaying a number (inserted for {0}): weight in ounces."
"numberwithunit_pound","{0} lb","Displaying a number (inserted for {0}): weight in pounds."
"numberwithunit_millimeter","{0} mm","Displaying a number (inserted for {0}): length in millimeters."
"numberwithunit_centimeter","{0} cm","Displaying a number (inserted for {0}): length in centimeters."
"numberwithunit_metre","{0} m","Displaying a number (inserted for {0}): length in meters."
"numberwithunit_inch","{0} in","Displaying a number (inserted for {0}): length in inches."
"numberwithunit_feet","{0} ft","Displaying a number (inserted for {0}): length in feet."
"numberwithunit_squarecentimeter","{0} cm²","Displaying a number (inserted for {0}): area in square centimeters."
"numberwithunit_squareinch","{0} in²","Displaying a number (inserted for {0}): area in square inches."
"numberwithunit_cubiccentimeter","{0} cm³","Displaying a number (inserted for {0}): volume in cubic centimeters."
"numberwithunit_cubicinch","{0} in³","Displaying a number (inserted for {0}): volume in cubic inches."
"numberwithunit_metrepersecond","{0} m/s","Displaying a number (inserted for {0}): speed in meters per second"
"numberwithunit_degrees","{0}°","Displaying a number (inserted for {0}): angle in degrees"
"numberwithunit_milliseconds","{0} ms","Displaying a number (inserted for {0}): time in milliseconds"
"numberwithunit_fps","{0} FPS","Average rendered frames per second the game produced in recent history."
"settingsmenu_generic_on","Sí","Generic option for a setting that is turned on/enabled"
"settingsmenu_generic_off","No","Generic option for a setting that is turned off/disabled"
"settingsmenu_title_frametime","Frame","Title for the time the last game frame took to compute and render."
"settingsmenu_title_cpu","CPU","Title for the CPU timer. Showing how long the last game frame took to compute on the main processor."
"settingsmenu_title_gpu","GPU","Title for the GPU timer. Showing how long the last game frame took to render on the graphics card."
"settingsmenu_title_screenmode","Modo de pantalla","Title of the screen mode option. Allows the player to choose between fullscreen and windowed."
"settingsmenu_button_low","Bajo","Text of button to set game quality option to low."
"settingsmenu_button_medium","Medio","Text of button to set game quality option to medium."
"settingsmenu_button_high","Alto","Text of button to set game quality option to high."
"settingsmenu_button_veryhigh","Ultra","Text of button to set game quality option to very high."
"settingsmenu_button_fullscreen","Pantalla completa","Text of button to set the game to fullscreen."
"settingsmenu_button_windowedfullscreen","Pantalla completa en ventana","Text of button to set the game to windowed fullscreen."
"settingsmenu_button_windowed","En ventana","Text of button to set the game to windowed."
"settingsmenu_title_analytics","Telemetría","Title in pausemenu of the consent to analytics/telemetry usage data."
"settingsmenu_title_interfacescale","Interfaz","Title in pausemenu of the scale options. Allows the player to scale the entire UI."
"settingsmenu_button_interfacescale_small","Pequeña","Text of button to set the interface scale to small."
"settingsmenu_button_interfacescale_regular","Regular","Text of button to set the interface scale to regular/default."
"settingsmenu_button_interfacescale_large","Grande","Text of button to set the interface scale to large."
"settingsmenu_title_gameplay","Jugabilidad","Title in pausemenu of gameplay-specific options."
"settingsmenu_title_audio","Audio","Title in pausemenu of the audio options."
"settingsmenu_title_renderquality","Calidad de render","Title in pausemenu of the scale render quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_shadowquality","Calidad de sombras","Title in pausemenu of the shadow quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_renderingscale","Escala de render","Title in pausemenu of the render scale options. Allows the player to set the resolution the game is rendering in."
"settingsmenu_title_giquality","Iluminación global","Title in pausemenu of the global illumination quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_effectsquality","Calidad de efectos","Title in pausemenu of the effects quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_reflectionsquality","Calidad de reflejos","Title in pausemenu of the reflections quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_volume","Volumen maestro","Title in options menu for the overall game volume."
"settingsmenu_title_volume_music","Música","Title in options menu of the music volume options."
"settingsmenu_title_volume_sfx","Efectos","Title in options menu for the volume of sound effects."
"settingsmenu_title_blademode_abilitieslistautocollapse","Ocultar automáticamente la lista de habilidades de la hoja","Title in options menu for a checkbox. If checked, the game will automatically close the list of swordmaking abilities after one has been chosen. If not, the panel will stay open."
"settingsmenu_title_feedbacksurvey_autoopen","Abrir encuesta al salir","Title in options menu for a checkbox. If checked, the game will open a feedback survey in browser when it shuts down."
"campaignmode_enddayconfirmation_title","Terminando el día","Title in end day menu."
"campaignmode_enddayconfirmation_noap_text","¿Has terminado por hoy?","Text in end day menu, asking the player if the day is done. Only shown when no action points are left for this day."
"campaignmode_enddayconfirmation_text","¿Has terminado por hoy? Tus {0}<ap/> se perderán","Text in end day menu, asking the player if the day is done and showing how many leftover action points will be lost."
"campaignmode_enddayconfirmation_button_endday","Terminar día","Text of button to end the day and cofirm the lost action points."
"campaignmode_endofday_title","El día {0} ha terminado","Hint showing that a particular day (number inserted for {0}) is now over."
"campaignmode_endofday_prevbalance","Balance previo","Value in the daily budget summary, showing the amount of money the player had at the start of the day."
"campaignmode_endofday_dayprofit","Beneficio de hoy","Value of the daily budget summary, showing the amount of money the player made during the day."
"campaignmode_endofday_newbalance","Balance nuevo","Value in the daily budget summary, showing the amount of money the player has now at the end of the day."
"campaignmode_endofday_button_nextday","Empezar el próximo día","Text of button to use the night after closing the forge, to start the next day."
"campaignmode_endofday_button_explore","Explorar la Fortaleza de Eren","Text of button to use the night after closing the forge, to explore the city."
"campaignmode_title_inventory","Inventario","Title of the inventory showing the player's items."
"campaignmode_vendorview_yourinventory","Tu inventario","Title of the vendor menu showing the content of the player's item inventory."
"campaignmode_vendorview_vendorinventory","Inventario del comerciante","Title of the vendor menu showing the content of vendor's item inventory."
"campaignmode_vendorview_ownedcurrency","Tienes: {0}<Currency/>","The amount of currency the player owns is inserted for {0}."
"campaignmode_vendorview_button_close","Cerrar","Text of button to close the vendor menu."
"vendor_ironmonger","Ferretero","Name of the ironmonger vendor, selling metal guards and pommels."
"vendor_woodcarver","Tallista","Name of the woodcarver vendor, selling grip parts and carved wooden pieces."
"vendor_wildworker","Artesano de lo salvaje","Name of the wildworker vendor, selling leather parts and animal parts."
"swordpartcatalogue_empty","No tienes piezas de empuñadura.","Hint displayed when the player's inventory ist empty."
"swordpartoverview_learning_text","Selecciona <b>tres partes del mismo tipo</> para aprender sus planos:","Description of the learning mechanic."
"swordpartoverview_learning_button_dismantle","Desmantela partes para aprender sus planos","Text of button in swordpart overview, to dismantle selected parts and learn the blueprint to reproduce them."
"mainmenu_cta_steam","Wishlist sí
<emph>STEAM</>","Call to action for wishlisting the game on Steam, <emph></> for larger text"
"mainmenu_cta_wishlist","Add to
<emph>WISHLIST</>","Call to action for wishlisting the game, <emph></> for larger text"
"mainmenu_cta_discord","Únete al
<emph>DISCORD</> oficial","Call to action for joining the games official discord server, <emph></> for larger text"
"forging_button_bladematerial_change","Cambiar material de la hoja...","Text of button that allows player to change the material the blade is made of."
"forging_caption_intensity","Intensidad","The intensity with which a blade ability is applied, in percent. At 0%, it has no effect."
"forging_caption_polishlevel","Nivel de pulido","Caption on a slider that controls the degree of polish/gloss on materials."
"creativemode_finalizesword_noscreenshots","Has tomado 0 capturas. ¿Por qué no tomas algunas?","Hint shown if the player has taken no screenshots at all."
"creativemode_finalizesword_screenshots","Has tomado {0} {0}|plural(one=captura,other=capturas).","Hint shown if the player has taken at least one screenshot."
"creativemode_finalizesword_button_showscreenshots","Ver capturas","Caption of a button to view all screenshots (for now opening the folder in Windows Explorer)"
"creativemode_finalizesword_button_sharesword","Comparte tu espada","CTA to share the sword/its screenshots on social media"
"creativemode_finalizesword_doneconfirmation","¿Has terminado con esta pieza por ahora? Siempre puedes volver y editarla más tarde.","Ask the player if they have finished working on the piece for the moment and remind them that they can come back and continue at any time."
"prologue_title_haveended","“Las Canciones se han silenciado","Title at the start of the game, line 1: ""The Songs have fallen silent and world lies in ruin."""
"prologue_title_andtheworld","y el mundo yace en ruinas.”","Title at the start of the game, line 2: ""The Songs have fallen silent and world lies in ruin."""
"commission_button_startforging","¡A Forjar!","Start to forge a blade for the shown commission."
"commission_button_accept","Aceptar","Button caption to accept a commission and start forging a sword."
"commission_button_continueforging","Forjar","Forge/continue forging a work-in-progress blade for the shown commission."
"game_tooltip_continue","Continuar jugando el Modo Historia","Tooltip for the Continue button in main menu"
"game_tooltip_newgame","Empezar una nueva partida en Modo Historia","Tooltip for the New Game button in main menu"
"game_tooltip_loadgame","Cargar una partida del Modo Historia","Tooltip for the Load Game button in main menu"
"game_tooltip_creativemode","Iniciar el Modo Creativo. ¡Te recomendamos encarecidamente jugar primero el tutorial del Modo Historia!","Tooltip for the Creative Mode button in main menu"
"game_tutorialwarning_creativemode","¡Te recomendamos encarecidamente jugar primero el tutorial en el Modo Historia! Puedes acceder al tutorial seleccionando "Nueva partida" en el menú principal.","Warning when entering Creative Mode without having played the tutorial."
"settingsmenu_title_language","Idioma","Language selection in settings menu"
"settingsmenu_title_resolution","Resolución","Resolution selection in graphic settings menu"
"settingsmenu_title_texturequality","Calidad de texturas","Texture Resolution selection in graphic settings menu"
"settingsmenu_title_antialiasing","Anti-Aliasing","Anti-Aliasing selection in graphic settings menu"
"settingsmenu_title_blademesh","Calidad de la hoja","Blademesh quality selection in graphic settings menu"
"settingsmenu_title_vsync","V-Sync","Option for vertical synchronization in graphics settings menu"
"settingsmenu_title_raytracing","Raytracing","Option for raytracing rendering in graphics settings menu"
"settingsmenu_title_fpslimit","Limite de fotogramas","Setting to limit the game's frames-per-second."
"settingsmenu_title_fpslimit_withnumber","Limite de fotogramas ({0})","Setting to limit the game's frames-per-second. The current maximum FPS number will be inserted for {0}."
"settingsmenu_gender_title","Género","Caption for setting: player character’s gender"
"settingsmenu_gender_option_male","Hombre","The player chooses to be addressed as male."
"settingsmenu_gender_option_female","Mujer","The player chooses to be addressed as female."
"settingsmenu_gender_option_neutral","Neutral","The player chooses to be addressed in a gender-neutral way."
"settingsmenu_bladecontrols_title","Controles de la hoja","Caption for setting: the player's preferred input method for editing sword blades"
"settingsmenu_bladecontrols_option_hammering","Martillo","The player prefers to hammer on the blade to edit it."
"settingsmenu_bladecontrols_option_sliders","Deslizadores","The player prefers slider-based, editor-like drag controls."
"settingsmenu_hammeringui_option","Interfaz de golpeo del martillo","A player preference to display an addition interface widget that helps timing your clicks for heavy hammer hits."
"forging_gameplayhint_cameracontrols_pan","Encuadre","Camera controls onscreen hints"
"forging_gameplayhint_cameracontrols_orbit","Órbita","Camera controls onscreen hints"
"forging_gameplayhint_cameracontrols_zoom","Zoom","Camera controls onscreen hints"
"forging_gameplayhint_scale","Escalar","Description of controls for scaling a part."
"forging_gameplayhint_rotate","Rotar","Description of controls for rotating a part around its primary axis."
"forging_gameplayhint_finecontrol","Control de precisión","Onscreen hint that shows the shortcut to finer/slower control movement and abilities."
"forging_gameplayhint_constrain","Restringir","Onscreen hint that shows the shortcut to constrain abilities like bending parts."
"forging_gameplayhint_deflection","Desviar pieza","Description of controls for changing the orientation of a part from it's default ""forward"" orientation."
"forging_gameplayhint_bending","Doblar/Estirar pieza","Description of controls for bending/curving a part."
"forging_gameplayhint_stretching","Estirar parte","Description of controls for deforming (stretching and possibly bending) a part."
"forging_gameplayhint_sinking","Incrustar","Description of controls for sinking/sticking one part into another, e.g. to close visual gaps."
"forging_caption_filter","Buscar...","Text in an editable text box, hinting at its functionality (allowing you to search for/filter sword parts). Displayed when the search text is empty."
"forging_caption_bladematerial","Material de hoja","Button to change the bladematerial"
"forging_button_recentercamera","Centrar cámara","Button to recenter the camera view ob the blade"
"forging_button_toggle_lighting","Cambiar iluminación","Button to switch bewtween lighting scenes in the games environment"
"forging_physicalproperties_title","Propiedades físicas","Title of the physical properties window, that shows details of the blade, e.g. mass and length."
"forging_physicalproperties_tooltip","Esta pantalla puede ser un medio útil para investigar las propiedades físicas de la espada mientras trabajas.","Tooltip of the Physical Properties window, describing what it does."
"swordpartcatalogue_empty_vendors","Visita a los vendedores para comprar algunas partes.","Hint in forge mode when the player has no parts in the inventory. Second line after ""You currently have no sword parts"", if vendors are available."
"swordpartcatalogue_empty_vendors_forging","Sal de la forja y visita a los comerciantes de hoy.","Hint in forge mode when the player has no parts in the inventory. To get parts, players can visit one of the vendors."
"swordmaking_ability_changelength_title","Cambiar longitud","Title of lengthen ability"
"swordmaking_ability_changelength_description","Cambia la longitud de la hoja","Description for lengthen ability"
"swordmaking_ability_changethickness_title","Cambiar grosor","Title of thickness ability"
"swordmaking_ability_changethickness_description","Cambia el grosor de la hoja","Description for thickness ability"
"swordmaking_ability_changewidth_title","Cambiar anchura","Title of width ability (combines narrow and broaden)."
"swordmaking_ability_changewidth_description","Cambia la anchura de la hoja","Description for width ability"
"game_save_autosave","Autoguardado {0}","Autosave description"
"game_save_saving","Guardando...","Hint that the game is currently autosaving"
"game_hint_overwrite","Atención: Tu partida guardada anterior se sobrescribirá. ¿Realmente quieres empezar una nueva partida?","Warning that starting a new game will delete previous savegames"
"game_save_savegame","Guardado {0}","Name of a saved game entry"
"game_save_savedgames","Partidas guardadas","Title of the ""saved games"" menu"
"blendcurve_numbered","Combinar curvas {0}","Numbered name for blend curves, a number will be inserted for {0}. Blend curves are used to blend in an ability on the blade to make beginning and end looking smoother."
"blendcurve_easeinout","Suavizar","Name of the default smooth blending curve (S-shaped)."
"blendcurve_easein","Suavizar inicio","Name of a blend curve that begins slowly."
"blendcurve_easeout","Suavizar final","Name of a blend curve that ends slowly."
"blendcurve_linear","Recto","Name of a straight/linear blend curve."
"blendcurve_circin","Entrada circular","Name of a blend curve that begins slowly (roughly circle-shaped)."
"blendcurve_circout","Salida circular","Name of a blend curve that ends slowly (roughly circle-shaped)."
"skilleffect_unlockability","Desbloquea la habilidad: {0}","Effect of a skill in the skill tree. The ability's name is inserted for {0}."
"skilleffect_unlockability_distaltaper","Desbloquea la habilidad: Estrechamiento del grosor","Effect of a skill in the skill tree. Unlocks the ability defined by key swordmaking_ability_distaltaper_title."
"skilleffect_advancedcrosssection","Desbloquea opciones de sección transversal adicionales.","Effect of a skill in the skill tree. By default, the player can only make simple diamond/hexagonal cross-sections for their blade. With this, the players gets additional options for convex/convave grind."
"forging_hint_notenoughresources","¡Sin recursos suficientes!","Warning displayed when the player doesn't have enough resources for an action."
"forging_gameplayhint_hammer_flip","Martillado inverso","A key hint for the playe to toggle the direction of the hammer (both flipping the visual hammer, and flipping the direction of the hammer's effect)."
"attribute_toughness","Entereza","A player character stat influencing narrative encounters, represents strength and intimidation."
"attribute_diplomacy","Diplomacia","A player character stat influencing narrative encounters, represents the ability to negotiate and convince people with reason."
"attribute_knowledge","Conocimiento","A player character stat influencing narrative encounters, represents knowing a lot about the world and its history."
"attribute_finesse","Pericia","A player character stat influencing narrative encounters, represents both cunning in conversations and things like opening locks."
"attribute_check_success","Éxito","Displayed when a stat check in a narrative encounter was successful, e.g. ""Toughness: Success"""
"attribute_check_failure","Fracaso","Displayed when a stat check in a narrative encounter failed, e.g. ""Toughness: Failure"""
"commission_warning_actionpoints","No hay suficientes <AP/> para empezar.","The player is missing Action Points to start a commission. <AP/> inserts an Action Point icon."
"commission_warning_steel","No hay suficiente acero para empezar.","The player is missing steel to start a commission."
"commission_warning_swordpartbook","Libro de piezas de espadas faltantes: {0}","The player is missing a book containing sword parts required for a commission."
"commission_warning_pigment","Pigmento faltante: {0}","The player is missing a pigments/dyes required for a commission."
"commission_warning_skill","Habilidad faltante: {0}","The player is missing an unlockable skill required for a commission."
"forging_hint_cannotoffer_nopoint","¡Tu hoja no tiene punta!","The blade is not suitable for stabbing, so the commission cannot be finished."
"forging_hint_cannotoffer_notsharp","¡Tu hoja no está afilada!","The blade is not sharp, so the commission cannot be finished."
"forging_hint_cannotoffer_noguard","¡Tu hoja no tiene guarda!","The sword has no guard above the hand, so the commission cannot be finished."
"forging_hint_cannotoffer_unmetrequirements","¡No cumples los requisitos!","The commisions' requirements are not fulfilled, so the commission cannot be finished."
"forging_hint_cannotoffer_missingresource","Recursos faltantes: {0}× {1}","0: Amount, 1: Resource name"
"campaignmode_caption_requirements","Requisitos","Caption of the commision's requirements section"
"campaignmode_caption_rewards","Recompensas","Caption of the commision's rewards section"
"campaignmode_caption_commissions","Encargos de hoy","Headline of the windows showing the commissions available today"
"reward_mystery","Recompensa misteriosa","A reward displayed as question mark that yields a random item."
"commission_stylerequirement_book","Libro: {0}","A commission requirement, where the customer asks for parts from a certain book. The name of the book is inserted for {0}."
"commission_stylerequirement_material","Material: {0}","A commission requirement, where the customer asks for a certain material. The name of the material is inserted for {0}."
"commission_stylerequirement_pigment","Pigmento: {0}","A commission requirement, where the customer asks for a certain pigment. The name of the pigment is inserted for {0}. A pigment is a specific colour like ""Oxblood""."
"commission_stylerequirement_colour","Color: {0}","A commission requirement, where the customer asks for a certain colour. The name of the colour is inserted for {0}. A colour is a generic term like ""Red"" which might encompass multiple pigments."
"vendor_trading_action_buy","Comprar","Action displayed next to a key binding at a vendor."
"vendor_trading_action_sell","Vender","Action displayed next to a key binding at a vendor."
"vendor_trading_hint_bulkbuy","Mantén [Shift] para comprar/vender 10×","Hint displayed at a vendor."
"gameintro_hint_continue","ESPACIO para continuar","Hint shown during the game's intro dialogue, telling the player to press the Space button to continue."
"background_mercenary","Mercenario","A narrative background. The player character used to be a sellsword."
"background_mercenary_description","Este trasfondo otorga +3 de Dureza y puede desbloquear opciones de diálogo únicas.","Effect of choosing this background; please refer to attribute_toughness."
"background_leader","Líder","A narrative background. The player character used to be the leader of an outpost."
